Date,Close
24-Feb-2017,135.44
27-Feb-2017,136.41
28-Feb-2017,135.54
1-Mar-2017,137.42
2-Mar-2017,136.76
3-Mar-2017,137.17
6-Mar-2017,137.42
7-Mar-2017,137.3
8-Mar-2017,137.72
9-Mar-2017,138.24
10-Mar-2017,138.79
13-Mar-2017,139.6
14-Mar-2017,139.32
15-Mar-2017,139.72
16-Mar-2017,139.99
17-Mar-2017,139.84
20-Mar-2017,139.94
21-Mar-2017,138.51
22-Mar-2017,139.59
23-Mar-2017,139.53
24-Mar-2017,140.34
27-Mar-2017,140.32
28-Mar-2017,141.76
29-Mar-2017,142.65
30-Mar-2017,142.41
31-Mar-2017,142.05
3-Apr-2017,142.28
4-Apr-2017,141.73
5-Apr-2017,141.85
6-Apr-2017,141.17
7-Apr-2017,140.78
10-Apr-2017,141.04
11-Apr-2017,139.92
12-Apr-2017,139.58
13-Apr-2017,139.39
17-Apr-2017,141.42
18-Apr-2017,140.96
19-Apr-2017,142.27
20-Apr-2017,143.8
21-Apr-2017,143.68
24-Apr-2017,145.47
25-Apr-2017,146.49
26-Apr-2017,146.56
27-Apr-2017,147.7
28-Apr-2017,150.25
1-May-2017,152.46
2-May-2017,152.78
3-May-2017,151.8
4-May-2017,150.85
5-May-2017,150.24
8-May-2017,151.06
9-May-2017,150.48
10-May-2017,150.29
11-May-2017,150.04
12-May-2017,150.33
15-May-2017,150.19
16-May-2017,149.78
17-May-2017,144.85
18-May-2017,147.66
19-May-2017,148.06
22-May-2017,148.24
23-May-2017,148.07
24-May-2017,150.04
25-May-2017,151.96
26-May-2017,152.13
30-May-2017,152.38
31-May-2017,151.46
1-Jun-2017,151.53
2-Jun-2017,153.61
5-Jun-2017,153.63
6-Jun-2017,152.81
7-Jun-2017,153.12
8-Jun-2017,154.71
9-Jun-2017,149.6
12-Jun-2017,148.44
13-Jun-2017,150.68
14-Jun-2017,150.25
15-Jun-2017,149.8
16-Jun-2017,150.64
19-Jun-2017,152.87
20-Jun-2017,152.25
21-Jun-2017,153.91
22-Jun-2017,153.4
23-Jun-2017,155.07
26-Jun-2017,153.59
27-Jun-2017,150.58
28-Jun-2017,153.24
29-Jun-2017,151.04
30-Jun-2017,150.98
3-Jul-2017,148.43
5-Jul-2017,150.34
6-Jul-2017,148.82
7-Jul-2017,151.44
10-Jul-2017,153.5
11-Jul-2017,155.27
12-Jul-2017,158.9
13-Jul-2017,159.26
14-Jul-2017,159.97
17-Jul-2017,159.73
18-Jul-2017,162.86
19-Jul-2017,164.14
20-Jul-2017,164.53
21-Jul-2017,164.43
24-Jul-2017,166
25-Jul-2017,165.28
26-Jul-2017,165.61
27-Jul-2017,170.44
28-Jul-2017,172.45
31-Jul-2017,169.25
1-Aug-2017,169.86
2-Aug-2017,169.3
3-Aug-2017,168.59
4-Aug-2017,169.62
7-Aug-2017,171.98
8-Aug-2017,171.23
9-Aug-2017,171.18
10-Aug-2017,167.4
11-Aug-2017,168.08
14-Aug-2017,170.75
15-Aug-2017,171
16-Aug-2017,170
17-Aug-2017,166.91
18-Aug-2017,167.41
21-Aug-2017,167.78
22-Aug-2017,169.64
23-Aug-2017,168.71
24-Aug-2017,167.74
25-Aug-2017,166.32
28-Aug-2017,167.24
29-Aug-2017,168.05
30-Aug-2017,169.92
31-Aug-2017,171.97
1-Sep-2017,172.02
5-Sep-2017,170.72
6-Sep-2017,172.09
7-Sep-2017,173.21
8-Sep-2017,170.95
11-Sep-2017,173.51
12-Sep-2017,172.96
13-Sep-2017,173.05
14-Sep-2017,170.96
15-Sep-2017,171.64
18-Sep-2017,170.01
19-Sep-2017,172.52
20-Sep-2017,172.17
21-Sep-2017,171.11
22-Sep-2017,170.54
25-Sep-2017,162.87
26-Sep-2017,164.21
27-Sep-2017,167.68
28-Sep-2017,168.73
29-Sep-2017,170.87
2-Oct-2017,169.47
3-Oct-2017,169.96
4-Oct-2017,168.42
5-Oct-2017,171.24
6-Oct-2017,172.23
9-Oct-2017,172.5
10-Oct-2017,171.59
11-Oct-2017,172.74
12-Oct-2017,172.55
13-Oct-2017,173.74
16-Oct-2017,174.52
17-Oct-2017,176.11
18-Oct-2017,176.03
19-Oct-2017,174.56
20-Oct-2017,174.98
23-Oct-2017,171.27
24-Oct-2017,171.8
25-Oct-2017,170.6
26-Oct-2017,170.63
27-Oct-2017,177.88
30-Oct-2017,179.87
31-Oct-2017,180.06
1-Nov-2017,182.66
2-Nov-2017,178.92
3-Nov-2017,178.92
6-Nov-2017,180.17
7-Nov-2017,180.25
8-Nov-2017,179.56
9-Nov-2017,179.3
10-Nov-2017,178.46
13-Nov-2017,178.77
14-Nov-2017,178.07
15-Nov-2017,177.95
16-Nov-2017,179.59
17-Nov-2017,179
20-Nov-2017,178.74
21-Nov-2017,181.86
22-Nov-2017,180.87
24-Nov-2017,182.78
27-Nov-2017,183.03
28-Nov-2017,182.42
29-Nov-2017,175.13
30-Nov-2017,177.18
1-Dec-2017,175.1
4-Dec-2017,171.47
5-Dec-2017,172.83
6-Dec-2017,176.06
7-Dec-2017,180.14
8-Dec-2017,179
11-Dec-2017,179.04
12-Dec-2017,176.96
13-Dec-2017,178.3
14-Dec-2017,178.39
15-Dec-2017,180.18
18-Dec-2017,180.82
19-Dec-2017,179.51
20-Dec-2017,177.89
21-Dec-2017,177.45
22-Dec-2017,177.2
26-Dec-2017,175.99
27-Dec-2017,177.62
28-Dec-2017,177.92
29-Dec-2017,176.46
2-Jan-2018,181.42
3-Jan-2018,184.67
4-Jan-2018,184.33
5-Jan-2018,186.85
8-Jan-2018,188.28
9-Jan-2018,187.87
10-Jan-2018,187.84
11-Jan-2018,187.77
12-Jan-2018,179.37
16-Jan-2018,178.39
17-Jan-2018,177.6
18-Jan-2018,179.8
19-Jan-2018,181.29
22-Jan-2018,185.37
23-Jan-2018,189.35
24-Jan-2018,186.55
25-Jan-2018,187.48
26-Jan-2018,190
29-Jan-2018,185.98
30-Jan-2018,187.12
31-Jan-2018,186.89
1-Feb-2018,193.09
2-Feb-2018,190.28
5-Feb-2018,181.26
6-Feb-2018,185.31
7-Feb-2018,180.18
8-Feb-2018,171.58
9-Feb-2018,176.11
12-Feb-2018,176.41
13-Feb-2018,173.15
14-Feb-2018,179.52
15-Feb-2018,179.96
16-Feb-2018,177.36
20-Feb-2018,176.01
21-Feb-2018,177.91
22-Feb-2018,178.99
23-Feb-2018,183.29
26-Feb-2018,184.93
27-Feb-2018,181.46
28-Feb-2018,178.32
1-Mar-2018,175.94
2-Mar-2018,176.62
5-Mar-2018,180.4
6-Mar-2018,179.78
7-Mar-2018,183.71
8-Mar-2018,182.34
9-Mar-2018,185.23
12-Mar-2018,184.76
13-Mar-2018,181.88
14-Mar-2018,184.19
15-Mar-2018,183.86
16-Mar-2018,185.09
19-Mar-2018,172.56
20-Mar-2018,168.15
21-Mar-2018,169.39
22-Mar-2018,164.89
23-Mar-2018,159.39
26-Mar-2018,160.06
27-Mar-2018,152.22
28-Mar-2018,153.03
29-Mar-2018,159.79
2-Apr-2018,155.39
3-Apr-2018,156.11
4-Apr-2018,155.1
5-Apr-2018,159.34
6-Apr-2018,157.2
9-Apr-2018,157.93
10-Apr-2018,165.04
11-Apr-2018,166.32
12-Apr-2018,163.87
13-Apr-2018,164.52
16-Apr-2018,164.83
17-Apr-2018,168.66
18-Apr-2018,166.36
19-Apr-2018,168.1
20-Apr-2018,166.28
23-Apr-2018,165.84
24-Apr-2018,159.69
25-Apr-2018,159.69
26-Apr-2018,174.16
27-Apr-2018,173.59
30-Apr-2018,172
1-May-2018,173.86
2-May-2018,176.07
3-May-2018,174.02
4-May-2018,176.61
7-May-2018,177.97
8-May-2018,178.92
9-May-2018,182.66
10-May-2018,185.53
11-May-2018,186.99
14-May-2018,186.64
15-May-2018,184.32
16-May-2018,183.2
17-May-2018,183.76
18-May-2018,182.68
21-May-2018,184.49
22-May-2018,183.8
23-May-2018,186.9
24-May-2018,185.93
25-May-2018,184.92
29-May-2018,185.74
30-May-2018,187.67
31-May-2018,191.78
1-Jun-2018,193.99
4-Jun-2018,193.28
5-Jun-2018,192.94
6-Jun-2018,191.34
7-Jun-2018,188.18
8-Jun-2018,189.1
11-Jun-2018,191.54
12-Jun-2018,192.4
13-Jun-2018,192.41
14-Jun-2018,196.81
15-Jun-2018,195.85
18-Jun-2018,198.31
19-Jun-2018,197.49
20-Jun-2018,202
21-Jun-2018,201.5
22-Jun-2018,201.74
25-Jun-2018,196.35
26-Jun-2018,199
27-Jun-2018,195.84
28-Jun-2018,196.23
29-Jun-2018,194.32
2-Jul-2018,197.36
3-Jul-2018,192.73
5-Jul-2018,198.45
6-Jul-2018,203.23
9-Jul-2018,204.74
10-Jul-2018,203.54
11-Jul-2018,202.54
12-Jul-2018,206.92
13-Jul-2018,207.32
16-Jul-2018,207.23
17-Jul-2018,209.99
18-Jul-2018,209.36
19-Jul-2018,208.09
20-Jul-2018,209.94
23-Jul-2018,210.91
24-Jul-2018,214.67
25-Jul-2018,217.5
26-Jul-2018,176.26
27-Jul-2018,174.89
30-Jul-2018,171.06
31-Jul-2018,172.58
1-Aug-2018,171.65
2-Aug-2018,176.37
3-Aug-2018,177.78
6-Aug-2018,185.69
7-Aug-2018,183.81
8-Aug-2018,185.18
9-Aug-2018,183.09
10-Aug-2018,180.26
13-Aug-2018,180.05
14-Aug-2018,181.11
15-Aug-2018,179.53
16-Aug-2018,174.7
17-Aug-2018,173.8
20-Aug-2018,172.5
21-Aug-2018,172.62
22-Aug-2018,173.64
23-Aug-2018,172.9
24-Aug-2018,174.65
27-Aug-2018,177.46
28-Aug-2018,176.26
29-Aug-2018,175.9
30-Aug-2018,177.64
31-Aug-2018,175.73
4-Sep-2018,171.16
5-Sep-2018,167.18
6-Sep-2018,162.53
7-Sep-2018,163.04
10-Sep-2018,164.18
11-Sep-2018,165.94
12-Sep-2018,162
13-Sep-2018,161.36
14-Sep-2018,162.32
17-Sep-2018,160.58
18-Sep-2018,160.3
19-Sep-2018,163.06
20-Sep-2018,166.02
21-Sep-2018,162.93
24-Sep-2018,165.41
25-Sep-2018,164.91
26-Sep-2018,166.95
27-Sep-2018,168.84
28-Sep-2018,164.46
1-Oct-2018,162.44
2-Oct-2018,159.33
3-Oct-2018,162.43
4-Oct-2018,158.85
5-Oct-2018,157.33
8-Oct-2018,157.25
9-Oct-2018,157.9
10-Oct-2018,151.38
11-Oct-2018,153.35
12-Oct-2018,153.74
15-Oct-2018,153.52
16-Oct-2018,158.78
17-Oct-2018,159.42
18-Oct-2018,154.92
19-Oct-2018,154.05
22-Oct-2018,154.78
23-Oct-2018,154.39
24-Oct-2018,146.04
25-Oct-2018,150.95
26-Oct-2018,145.37
29-Oct-2018,142.09
30-Oct-2018,146.22
31-Oct-2018,151.79
1-Nov-2018,151.75
2-Nov-2018,150.35
5-Nov-2018,148.68
6-Nov-2018,149.94
7-Nov-2018,151.53
8-Nov-2018,147.87
9-Nov-2018,144.96
12-Nov-2018,141.55
13-Nov-2018,142.16
14-Nov-2018,144.22
15-Nov-2018,143.85
16-Nov-2018,139.53
19-Nov-2018,131.55
20-Nov-2018,132.43
21-Nov-2018,134.82
23-Nov-2018,131.73
26-Nov-2018,136.38
27-Nov-2018,135
28-Nov-2018,136.76
29-Nov-2018,138.68
30-Nov-2018,140.61
3-Dec-2018,141.09
4-Dec-2018,137.93
6-Dec-2018,139.63
7-Dec-2018,137.42
10-Dec-2018,141.85
11-Dec-2018,142.08
12-Dec-2018,144.5
13-Dec-2018,145.01
14-Dec-2018,144.06
17-Dec-2018,140.19
18-Dec-2018,143.66
19-Dec-2018,133.24
20-Dec-2018,133.4
21-Dec-2018,124.95
24-Dec-2018,124.06
26-Dec-2018,134.18
27-Dec-2018,134.52
28-Dec-2018,133.2
31-Dec-2018,131.09
2-Jan-2019,135.68
3-Jan-2019,131.74
4-Jan-2019,137.95
7-Jan-2019,138.05
8-Jan-2019,142.53
